Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2016-01-17,Girona,Ponferradina,4,0,H,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2016-01-23,Alaves,Huesca,1,0,H,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2016-01-23,Girona,Ath Bilbao B,2,1,H,1.5,3.6,8.0,2015,,,,,,,,,,,,,,,
2016-01-23,Leganes,Almeria,2,1,H,1.62,3.4,6.5,2015,,,,,,,,,,,,,,,
2016-01-23,Lugo,Oviedo,2,2,D,2.38,3.0,3.2,2015,,,,,,,,,,,,,,,
2016-01-23,Mallorca,Alcorcon,1,0,H,2.45,3.0,3.1,2015,,,,,,,,,,,,,,,
2016-01-24,Valladolid,Cordoba,2,0,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2016-01-24,Tenerife,Numancia,0,0,D,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2016-01-24,Zaragoza,Mirandes,1,2,A,1.91,3.2,4.33,2015,,,,,,,,,,,,,,,
2016-01-24,Elche,Ponferradina,1,0,H,1.8,3.3,4.75,2015,,,,,,,,,,,,,,,
2016-01-24,Albacete,Gimnastic,1,1,D,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2016-01-24,Osasuna,Llagostera,3,0,H,1.6,3.4,7.0,2015,,,,,,,,,,,,,,,
2016-01-30,Alcorcon,Valladolid,0,0,D,2.05,3.2,3.75,2015,,,,,,,,,,,,,,,
2016-01-30,Cordoba,Leganes,2,3,A,2.6,3.0,2.9,2015,,,,,,,,,,,,,,,
